1|Looon Systems|Carpenter|30324|4708094100|5|Y|85|10|user1|password|33.820397|-84.365932|Cabinet/Floor Wood Renewal, Concrete Staining, Exterior Painting, Garage Floor Painting, Wall Texturing, Cabinetry Painting, Deck Painting/Staining, Fence Painting, Interior Painting, Wallpaper Removal
14|Rageo|Carpenter|30325|4708094113|2|N|98|8|user2|password|34|-83.365932|Cabinet/Floor Wood Renewal, Concrete Staining, Exterior Painting, Garage Floor Painting, Wall Texturing, Cabinetry Painting, Deck Painting/Staining, Fence Painting, Interior Painting, Wallpaper Removal
36|Loonico Labs|Carpenter|30327|4708094135|2|N|120|10|user3|password|35|-84|Cabinet/Floor Wood Renewal, Concrete Staining, Exterior Painting, Garage Floor Painting, Wall Texturing, Cabinetry Painting, Deck Painting/Staining, Fence Painting, Interior Painting, Wallpaper Removal
2|Dotster|Deck Builder|30324|4708094101|4|N|200|11|user4|password|33.820397|-84.5|Backsplash Installation, Bathroom Remodel,  Carpentry Framing, Deck Build, Kitchen Remodel, Marblestone Tub/Shower Installation, Subfloor Installation/Replacement, Basement Remodel, Cabinet Installation, Closet Build, Family Room Remodel, Living Room Remodel, Siding Installation
15|PlurStar|Deck Builder|30325|4708094114|5|Y|10|10|user5|password|34|-84.365932|Backsplash Installation, Bathroom Remodel,  Carpentry Framing, Deck Build, Kitchen Remodel, Marblestone Tub/Shower Installation, Subfloor Installation/Replacement, Basement Remodel, Cabinet Installation, Closet Build, Family Room Remodel, Living Room Remodel, Siding Installation
37|Trumo|Deck Builder|30327|4708094136|5|Y|300|11|user6|password|35|-83.365932|Backsplash Installation, Bathroom Remodel,  Carpentry Framing, Deck Build, Kitchen Remodel, Marblestone Tub/Shower Installation, Subfloor Installation/Replacement, Basement Remodel, Cabinet Installation, Closet Build, Family Room Remodel, Living Room Remodel, Siding Installation
3|Yeddscro Systems|Electrician|30324|4708094102|2|Y|50|15|user7|password|33.820397|-84|Bathroom Fan Repair, Ceiling Fan Repair, Electrical Panel Installation, Electrical Panel Upgrade, Electrical Wiring Upgrade, Exterior Lighting Installation, LED Interior Light Conversion, Light Fixture Repair, Light Switch Installation, Outlet Repair, Ceiling Fan Installation, Electric Wall Heater Installation, Electrical Panel Repair, Electrical Wiring Installation, Exhaust Fan Installation, Generator Installation, Light Fixture Installation, Light Fixture Replacement, Outlet Installation, Spa Wire Installation
16|Mykee Labs|Electrician|30325|4708094115|4|Y|100|11|user8|password|34|-84.5|Bathroom Fan Repair, Ceiling Fan Repair, Electrical Panel Installation, Electrical Panel Upgrade, Electrical Wiring Upgrade, Exterior Lighting Installation, LED Interior Light Conversion, Light Fixture Repair, Light Switch Installation, Outlet Repair, Ceiling Fan Installation, Electric Wall Heater Installation, Electrical Panel Repair, Electrical Wiring Installation, Exhaust Fan Installation, Generator Installation, Light Fixture Installation, Light Fixture Replacement, Outlet Installation, Spa Wire Installation
38|blingbo|Electrician|30327|4708094137|4|N|122|15|user9|password|35|-84.365932|Bathroom Fan Repair, Ceiling Fan Repair, Electrical Panel Installation, Electrical Panel Upgrade, Electrical Wiring Upgrade, Exterior Lighting Installation, LED Interior Light Conversion, Light Fixture Repair, Light Switch Installation, Outlet Repair, Ceiling Fan Installation, Electric Wall Heater Installation, Electrical Panel Repair, Electrical Wiring Installation, Exhaust Fan Installation, Generator Installation, Light Fixture Installation, Light Fixture Replacement, Outlet Installation, Spa Wire Installation
5|Twisauce|Electrician|30324|4708094104|4|Y|30|8|user10|password|33.820397|-83.365932|Bathroom Fan Repair, Ceiling Fan Repair, Electrical Panel Installation, Electrical Panel Upgrade, Electrical Wiring Upgrade, Exterior Lighting Installation, LED Interior Light Conversion, Light Fixture Repair, Light Switch Installation, Outlet Repair, Ceiling Fan Installation, Electric Wall Heater Installation, Electrical Panel Repair, Electrical Wiring Installation, Exhaust Fan Installation, Generator Installation, Light Fixture Installation, Light Fixture Replacement, Outlet Installation, Spa Wire Installation
18|Inifish|Electrician|30325|4708094117|3.5|N|85|20|user11|password|34|-84|Bathroom Fan Repair, Ceiling Fan Repair, Electrical Panel Installation, Electrical Panel Upgrade, Electrical Wiring Upgrade, Exterior Lighting Installation, LED Interior Light Conversion, Light Fixture Repair, Light Switch Installation, Outlet Repair, Ceiling Fan Installation, Electric Wall Heater Installation, Electrical Panel Repair, Electrical Wiring Installation, Exhaust Fan Installation, Generator Installation, Light Fixture Installation, Light Fixture Replacement, Outlet Installation, Spa Wire Installation
27|Rabo Media|Electrician|30326|4708094126|4|Y|98|6|user12|password|35|-84.5|Bathroom Fan Repair, Ceiling Fan Repair, Electrical Panel Installation, Electrical Panel Upgrade, Electrical Wiring Upgrade, Exterior Lighting Installation, LED Interior Light Conversion, Light Fixture Repair, Light Switch Installation, Outlet Repair, Ceiling Fan Installation, Electric Wall Heater Installation, Electrical Panel Repair, Electrical Wiring Installation, Exhaust Fan Installation, Generator Installation, Light Fixture Installation, Light Fixture Replacement, Outlet Installation, Spa Wire Installation
4|PlurSpace|Fence Installer/Repairer|30324|4708094103|5|Y|170|20|user13|password|33.820397|-84.365932|Accessible Ramp Installation,  Barn / Shed Build, Cabinet Hardware Installation, Cabinet Repair, Carpentry Framing, Deck or Porch Repair, Fence Repair, Garage Build, Interior Trim Repair, Subfloor Installation/Replacement, Attic Ladder Installation, Barn / Shed Repair, Cabinet Installation, Carpentry Frame Repair, Deck Build, Door hardware Installation, Frame Installation, Interior Trim Installation, Repair Damaged Wood
17|ibiba|Fence Installer/Repairer|30325|4708094116|2|Y|280|15|user14|password|34|-83.365932|Accessible Ramp Installation,  Barn / Shed Build, Cabinet Hardware Installation, Cabinet Repair, Carpentry Framing, Deck or Porch Repair, Fence Repair, Garage Build, Interior Trim Repair, Subfloor Installation/Replacement, Attic Ladder Installation, Barn / Shed Repair, Cabinet Installation, Carpentry Frame Repair, Deck Build, Door hardware Installation, Frame Installation, Interior Trim Installation, Repair Damaged Wood
39|Adkee|Fence Installer/Repairer|30327|4708094138|2|Y|55|20|user15|password|35|-84|Accessible Ramp Installation,  Barn / Shed Build, Cabinet Hardware Installation, Cabinet Repair, Carpentry Framing, Deck or Porch Repair, Fence Repair, Garage Build, Interior Trim Repair, Subfloor Installation/Replacement, Attic Ladder Installation, Barn / Shed Repair, Cabinet Installation, Carpentry Frame Repair, Deck Build, Door hardware Installation, Frame Installation, Interior Trim Installation, Repair Damaged Wood
40|Rala|Fence Installer/Repairer|30327|4708094139|3.5|Y|120|8|user16|password|33.820397|-84.5|Accessible Ramp Installation,  Barn / Shed Build, Cabinet Hardware Installation, Cabinet Repair, Carpentry Framing, Deck or Porch Repair, Fence Repair, Garage Build, Interior Trim Repair, Subfloor Installation/Replacement, Attic Ladder Installation, Barn / Shed Repair, Cabinet Installation, Carpentry Frame Repair, Deck Build, Door hardware Installation, Frame Installation, Interior Trim Installation, Repair Damaged Wood
49|progo|Fence Installer/Repairer|30328|4708094148|4|Y|200|8|user17|password|34|-84.365932|Accessible Ramp Installation,  Barn / Shed Build, Cabinet Hardware Installation, Cabinet Repair, Carpentry Framing, Deck or Porch Repair, Fence Repair, Garage Build, Interior Trim Repair, Subfloor Installation/Replacement, Attic Ladder Installation, Barn / Shed Repair, Cabinet Installation, Carpentry Frame Repair, Deck Build, Door hardware Installation, Frame Installation, Interior Trim Installation, Repair Damaged Wood
7|Dotga Collective|General Contractor|30324|4708094106|3.5|Y|10|8|user18|password|35|-83.365932|Backsplash Installation, Barn / Shed Repair, Bathroom Remodel, Cabinet Installation, Closet Build, Deck Build, Drywall/Sheetrock Repair, Family Room Remodel, , Garage Build, Glass Block Installation, Home Depot SF&I Commercial Bath, Home Depot SF&I Home Access Modification, Living Room Remodel, Paver Installation, Room Addition, Stairway Build, Stucco Repair, Sunroom/Patio Cover Installation, Barn / Shed Build, Basement Remodel, Brick,  Stone,  Block Wall Installation, Carpentry Framing, Custom Iron Door Installation, Drywall/Sheetrock Installation, Exterior Awning Installation, Foundation Repair, Garage Remodel, Hardscape, , Home Depot SF&I Concrete, , Kitchen Remodel, Marblestone Tub/Shower Installation, Pour Concrete, Siding Installation, Stucco Installation, Subfloor Installation/Replacement
20|Jamee|General Contractor|30325|4708094119|4.5|N|300|6|user19|password|33.820397|-84|Backsplash Installation, Barn / Shed Repair, Bathroom Remodel, Cabinet Installation, Closet Build, Deck Build, Drywall/Sheetrock Repair, Family Room Remodel, , Garage Build, Glass Block Installation, Home Depot SF&I Commercial Bath, Home Depot SF&I Home Access Modification, Living Room Remodel, Paver Installation, Room Addition, Stairway Build, Stucco Repair, Sunroom/Patio Cover Installation, Barn / Shed Build, Basement Remodel, Brick,  Stone,  Block Wall Installation, Carpentry Framing, Custom Iron Door Installation, Drywall/Sheetrock Installation, Exterior Awning Installation, Foundation Repair, Garage Remodel, Hardscape, , Home Depot SF&I Concrete, , Kitchen Remodel, Marblestone Tub/Shower Installation, Pour Concrete, Siding Installation, Stucco Installation, Subfloor Installation/Replacement
29|GlifDoo|General Contractor|30326|4708094128|3.5|Y|50|10|user20|password|34|-84.5|Backsplash Installation, Barn / Shed Repair, Bathroom Remodel, Cabinet Installation, Closet Build, Deck Build, Drywall/Sheetrock Repair, Family Room Remodel, , Garage Build, Glass Block Installation, Home Depot SF&I Commercial Bath, Home Depot SF&I Home Access Modification, Living Room Remodel, Paver Installation, Room Addition, Stairway Build, Stucco Repair, Sunroom/Patio Cover Installation, Barn / Shed Build, Basement Remodel, Brick,  Stone,  Block Wall Installation, Carpentry Framing, Custom Iron Door Installation, Drywall/Sheetrock Installation, Exterior Awning Installation, Foundation Repair, Garage Remodel, Hardscape, , Home Depot SF&I Concrete, , Kitchen Remodel, Marblestone Tub/Shower Installation, Pour Concrete, Siding Installation, Stucco Installation, Subfloor Installation/Replacement
42|Bodoo Media|General Contractor|30327|4708094141|4.5|N|100|8|user21|password|35|-84.5|Backsplash Installation, Barn / Shed Repair, Bathroom Remodel, Cabinet Installation, Closet Build, Deck Build, Drywall/Sheetrock Repair, Family Room Remodel, , Garage Build, Glass Block Installation, Home Depot SF&I Commercial Bath, Home Depot SF&I Home Access Modification, Living Room Remodel, Paver Installation, Room Addition, Stairway Build, Stucco Repair, Sunroom/Patio Cover Installation, Barn / Shed Build, Basement Remodel, Brick,  Stone,  Block Wall Installation, Carpentry Framing, Custom Iron Door Installation, Drywall/Sheetrock Installation, Exterior Awning Installation, Foundation Repair, Garage Remodel, Hardscape, , Home Depot SF&I Concrete, , Kitchen Remodel, Marblestone Tub/Shower Installation, Pour Concrete, Siding Installation, Stucco Installation, Subfloor Installation/Replacement
